,First Name,Last Name,SID,ID,Name,Email Address,Section,hw1_score,hw2_score,hw3_score,hw4_score,hw5_score,hw6_score,hw7_score,hw8_score,hw9_score,hw10_score,exam1_score,exam2_score,exam3_score,hw_avg,ex_avg,final_score,ceiling_score,final_letter_grade
0,Aaron,Lester,axl60952,7308367,"Lester, Aaron",aaron.lester@univ.edu,2,85.0,92.5,96.25,89.0,72.85714285714285,96.66666666666667,66.0,68.57142857142857,70.0,68.33333333333333,79.0,63.0,68.0,80.51785714285714,70.0,76.31071428571428,77.0,C
1,Adam,Cooper,amc28428,9204701,"Cooper, Adam Melvin",adam.cooper@univ.edu,2,100.0,97.5,97.5,87.0,92.85714285714286,61.111111111111114,88.0,62.857142857142854,75.0,88.33333333333333,65.0,63.0,90.0,85.01587301587303,72.66666666666667,80.07619047619048,81.0,B
2,Alec,Curry,axc64717,4570025,"Curry, Alec",alec.curry@univ.edu,2,86.25,95.0,82.5,87.0,84.28571428571429,92.22222222222223,86.0,92.85714285714286,96.66666666666667,70.0,65.0,78.0,83.0,87.2781746031746,75.33333333333333,82.5002380952381,83.0,B
3,Alexander,Rodriguez,akr14831,1791350,"Rodriguez, Alexander Katelyn",alexander.rodriguez@univ.edu,2,62.5,67.5,92.5,75.0,77.14285714285715,65.55555555555556,76.0,61.42857142857143,63.33333333333333,78.33333333333333,97.0,97.0,81.0,71.9293650793651,91.66666666666667,79.82428571428574,80.0,B
4,Amber,Daniels,axd11293,3932938,"Daniels, Amber",amber.daniels@univ.edu,2,67.5,71.25,96.25,95.0,67.14285714285714,96.66666666666667,88.0,82.85714285714286,76.66666666666667,98.33333333333333,68.0,95.0,88.0,83.96666666666667,83.66666666666667,83.84666666666666,84.0,B
5,Amy,Adams,ara97741,6600559,"Adams, Amy Robert",amy.adams@univ.edu,1,61.25000000000001,66.25,68.75,78.0,65.71428571428571,65.55555555555556,98.0,82.85714285714286,65.0,90.0,87.0,74.0,76.0,74.13769841269841,79.0,76.08261904761905,77.0,C
6,Amy,White,alw07647,6972487,"White, Amy Leslie",amy.white@univ.edu,3,88.75,75.0,90.0,95.0,91.42857142857143,96.66666666666667,80.0,61.42857142857143,78.33333333333333,68.33333333333333,99.0,95.0,99.0,82.49404761904762,97.66666666666667,88.56309523809524,89.0,B
7,Amy,Dunn,axd67070,7648182,"Dunn, Amy",amy.dunn@univ.edu,3,90.0,76.25,62.5,90.0,67.14285714285714,80.0,86.0,70.0,80.0,83.33333333333334,93.0,96.0,86.0,78.52261904761905,91.66666666666667,83.7802380952381,84.0,B
8,Amy,Terry,ajt73762,7331066,"Terry, Amy Justin",amy.terry@univ.edu,3,88.75,67.5,95.0,93.0,61.42857142857143,98.88888888888889,60.0,82.85714285714286,90.0,81.66666666666667,60.0,81.0,79.0,81.90912698412698,73.33333333333333,78.47880952380952,79.0,C
9,Andrea,Smith,aes07091,6847480,"Smith, Andrea Erica",andrea.smith@univ.edu,2,100.0,88.75,76.25,73.0,87.14285714285714,87.77777777777777,94.0,88.57142857142857,71.66666666666667,68.33333333333333,66.0,97.0,86.0,83.54920634920634,83.0,83.3295238095238,84.0,B
